Tahun,Kabupaten/Kota,TPT
2017,Kab Pandeglang,8.3
2017,Kab Lebak,8.88
2017,Kab Tangerang,10.57
2017,Kab Serang,13
2017,Kota Tangerang,7.16
2017,Kota Cilegon,11.88
2017,Kota Serang,8.43
2017,Kota Tangerang Selatan,6.83
2017,Provinsi Banten,9.28
2018,Kab Pandeglang,8.19
2018,Kab Lebak,7.57
2018,Kab Tangerang,9.63
2018,Kab Serang,12.63
2018,Kota Tangerang,7.39
2018,Kota Cilegon,9.21
2018,Kota Serang,8.1
2018,Kota Tangerang Selatan,4.67
2018,Provinsi Banten,8.47
2019,Kab Pandeglang,8.67
2019,Kab Lebak,7.96
2019,Kab Tangerang,8.92
2019,Kab Serang,10.58
2019,Kota Tangerang,7.14
2019,Kota Cilegon,9.64
2019,Kota Serang,8.07
2019,Kota Tangerang Selatan,4.78
2019,Provinsi Banten,8.11
2020,Kab Pandeglang,9.15
2020,Kab Lebak,9.63
2020,Kab Tangerang,13.06
2020,Kab Serang,12.22
2020,Kota Tangerang,8.63
2020,Kota Cilegon,12.69
2020,Kota Serang,9.26
2020,Kota Tangerang Selatan,8.48
2020,Provinsi Banten,10.64
2021,Kab Pandeglang,7.7
2021,Kab Lebak,7.86
2021,Kab Tangerang,9.06
2021,Kab Serang,10.58
2021,Kota Tangerang,9.07
2021,Kota Cilegon,10.13
2021,Kota Serang,9.41
2021,Kota Tangerang Selatan,8.6
2021,Provinsi Banten,8.98
2022,Kab Pandeglang,9.24
2022,Kab Lebak,8.55
2022,Kab Tangerang,7.88
2022,Kab Serang,10.61
2022,Kota Tangerang,7.16
2022,Kota Cilegon,8.1
2022,Kota Serang,8.17
2022,Kota Tangerang Selatan,6.59
2022,Provinsi Banten,8.09
2023,Kab Pandeglang,9.05
2023,Kab Lebak,7.57
2023,Kab Tangerang,6.94
2023,Kab Serang,9.94
2023,Kota Tangerang,6.76
2023,Kota Cilegon,7.25
2023,Kota Serang,7.45
2023,Kota Tangerang Selatan,5.81
2023,Provinsi Banten,7.52
2024,Kab Pandeglang,8.09
2024,Kab Lebak,6.23
2024,Kab Tangerang,6.06
2024,Kab Serang,9.18
2024,Kota Tangerang,5.92
2024,Kota Cilegon,6.08
2024,Kota Serang,7.12
2024,Kota Tangerang Selatan,5.09
2024,Provinsi Banten,6.68
